序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
281,数据分析工程师,高德-高级测试开发工程师-高精数据应用,25-50k·16薪,北京-朝阳区,3-5年-本科-测试开发-自动化测试-系统测试,3-5年-本科-测试开发-自动化测试-系统测试,北京高德云图科技有限公司,互联网-融资未公开-500-999人,北京-朝阳区,互联网-融资未公开-500-999人,,
282,数据分析工程师,0361EE-大数据开发工程师-上海,30-50k,上海,3-5年-统招本科-Flink-数据开发-SQL-Python-Shell-Hadoop,3-5年-统招本科-Flink-数据开发-SQL-Python-Shell-Hadoop,某深圳大型保险公司,保险-战略融资-10000人以上,上海,保险-战略融资-10000人以上,"工作职责
﻿​1.负责大数据平台的功能组件开发 

2.对接产品经理，落地实现相关的数据加工作业，并对作业质量负责 

3.架构、维护、调优数据中台，不断提升数据中台能力，满足业务的快速发展 

4.治理整合多方、异构数据，合理实现数据中台的数据分层、组织管理 

5.对接AI算法团队，对数据挖掘、机器学习模型落地存储并满足应用场景

","任职要求
﻿1、本科以上学历，计算机相关专业，三年以上大数据项目开发实战经验； 

2、熟悉Linux系统，具备shell、python等脚本开发能力者优先； 

3、熟悉HQL语言，熟悉Hadoop/Flink/Spark/Hive/HBase等大数据工具，参与过大型数据平台建设者优先； 

4、有丰富的Java开发经验，熟练掌握Springboot开发框架，熟练进行Java代码编写，熟悉多线程编程； 

5、了解微服务开发理念、实现技术，熟悉常见设计模式； 

6、有Flink实时数据处理应用开发经验优先，熟练掌握实时计算引擎 Flink, 对hadoop生态其他组件有一定了解，比如 HBase， hadoop, Hive, Druid等； 

7、精通SQL，熟悉常用的关系型数据库、非关系性数据库和数据仓库，具有SQL性能优化经验；

8、熟悉数据仓库理论，具备复杂业务需求梳理能力； 

9、学习能力强，喜欢研究开源新技术，有团队观念，具备独立解决问题的能力，具备扎实的计算机理论基础, 对数据结构及算法有较强的功底。"
283,数据分析工程师,新型大数据平台测试工程师,17-40k·14薪,深圳-龙华区,3-5年-统招本科-系统测试-自动化测试,3-5年-统招本科-系统测试-自动化测试,深圳计算科学研究院,计算机软件-100-499人,深圳-龙华区,计算机软件-100-499人,"职责描述：
1.负责新型数据平台相关测试用例的设计和开发，测试文档撰写和新人指导；
2.跟踪业界前沿技术，设计与开发自动化工具/框架，提升团队工程化能力。

","任职要求：
1.三年以上相关领域测试经验，有分布式系统和数据库测试经验优先考虑；
2.扎实的编程能力，熟悉 C/C++/Python/JAVA语言；
3.熟悉 MySQL/PostgreSQL/Greenplum 等数据库系统实现原理，熟悉使用SQL语言；
4.优秀的发现和解决问题能力，良好的沟通能力，具备团队合作精神。
加分项：
1.有承担中大型系统DBA经验优先考虑；
2.对自动化测试系统的实现和部署有实践经验。"
284,数据分析工程师,自动驾驶数据采集开发工程师,50-70k·14薪,广州,3-5年-本科-系统开发-传感器-智能驾驶,3-5年-本科-系统开发-传感器-智能驾驶,某广州大型整车制造公司,整车制造-融资未公开-2000-5000人,广州,整车制造-融资未公开-2000-5000人,"岗位职责:
· 负责自动驾驶数据采集系统的开发；
· 负责数据采集管理系统的开发；
· 负责解决、攻克自动驾驶数据采集的技术难题。
","任职资格:
· 计算机/电子/通信/自动化及相关专业，本科及硕士以上学历；
· 具备扎实的数据结构及算法功底，熟练掌握C++/Shell/Python等至少一种编程语言；
· 熟悉自动驾驶及相关的 Lidar、Camera 等传感器数据采集优先；
· 具有ROS系统开发及优化经验优先； 
· 适应创业公司氛围，能自我驱动，团结合作，高效快速应对变化；
· 较好的学习能力、分析能力和解决问题的能力，具备强烈的责任心、进取心及团队合作精神，热衷于追求技术与创新。"
285,数据分析工程师,数据测试工程师（深圳）,20-40k·14薪,深圳,3-5年-本科-软件测试-功能测试-性能测试,3-5年-本科-软件测试-功能测试-性能测试,微众银行,银行-2000-5000人,深圳,银行-2000-5000人,,
286,数据分析工程师,大数据开发专家,25-50k,上海-闵行区,5-10年-本科-Spark-Flink-离线数仓,5-10年-本科-Spark-Flink-离线数仓,某上海知名公司,云计算/大数据-B轮-100-499人,上海-闵行区,云计算/大数据-B轮-100-499人,"【岗位职责】：（偏离线数仓）
1、负责公用域离线和实时数仓设计和建设落地，包括数据域的拆分和建模和主题域的建设；
2、负责数仓数据安全的架构、设计和实施落地；
负责重点项目的架构设计、评审、技术攻坚及优化；
3、负责数仓模型的研发落地及性能优化；
4、负责公用域团队的日常管理工作，包括但不限于整体统筹分配、进度把控、结果跟进，为团队整体产出负责；
5、参与并推进开发流程规范的制定、更新及落地工作。
参与数据业务的产品路线讨论和制定，为业务提供有价值的技术建议并推动业务发展。
【","岗位要求】：
1、有5年以上数据开发经验，2年3人以上团队管理经验及团队内部推进开发规范流程的经历。
2、有扎实的离线建模理论及大型数仓落地实施成功经验，精通HQL，Spark SQL及scala语言，具备良好的编码习惯及性能优化能力。
3、有实时数仓建模理论及实时开发运维经验，对于flink的工作原理有自己的理解及优化能力。
4、了解算法模型的工作原理，能够主导实施落地算法开发、优化等。
5、 有基于Hadoop/spark/flink等技术，主导实施从数据采集、处理到应用全流程的经验优先；有oneid建设经验优先。
6、 本科及以上学历，计算机相关专业，良好的责任心、学习能力、沟通技能，具备空杯心态，有较强的团队合作精神。"
287,数据分析工程师,大数据测试工程师(J11586),13-25k·14薪,杭州-上城区,1-3年-统招本科-探索性测试-性能测试-Java,1-3年-统招本科-探索性测试-性能测试-Java,泰隆,银行-5000-10000人,杭州-上城区,银行-5000-10000人,"工作职责:
1、负责数据类信息系统的测试管理与测试工作，能够根据实际业务需求产出完备的测试方案并制定可执行测试计划，保证数据服务的正确性以及合理性。
2、掌握主流性能测试工具、接口测试工具进行性能及接口测试；
3、不断研究和探索前沿测试技术和方法，提升测试效率和质量。
","任职资格:
1.本科或以上学历，2年以上数据测试经验；
2.掌握Python/Java等至少一种编程语言，有Shell、Python等脚本语言能力，具备较强的分析设计能力和代码能力；
3.熟练Hadoop、Spark、Hive等常用大数据技术；
4.对数据敏感，具有良好的逻辑思维能力、分析能力、理解业务的能力、沟通能力和表达呈现能力，主动性强；
5.具有一定的数据分析技能和相关经验；
6.良好的团队沟通和协作能力。"
288,数据分析工程师,大数据开发工程师（开发平台方向）,45-75k·13薪,北京-顺义区,5-10年-统招本科-数据开发,5-10年-统招本科-数据开发,理想汽车,整车制造-美股上市-10000人以上,北京-顺义区,整车制造-美股上市-10000人以上,,
289,数据分析工程师,大数据测试工程师,12-19k,广州-天河区,3-5年-统招本科-大数据领域-软件测试-Airflow-Flink,3-5年-统招本科-大数据领域-软件测试-Airflow-Flink,京北方信息,互联网-其他股票市场上市-10000人以上,广州-天河区,互联网-其他股票市场上市-10000人以上,,
290,数据分析工程师,大数据开发工程师,30-35k,深圳-福田区,3-5年-本科-数据建模-数据开发-SQL-Oracle,3-5年-本科-数据建模-数据开发-SQL-Oracle,某深圳基金/证券/期货公司,基金/证券/期货-融资未公开-100-499人,深圳-福田区,基金/证券/期货-融资未公开-100-499人,"职责描述：
1、负责推动数据中心建设规划的实施；负责相关部门数据需求收集；
2、负责数据中心开发项目管理，包括需求管理、项目策划、过程实施、结果验收、版本发布等全过程项目管理，控制项目成本与风险，评审项目各阶段交付物，确保项目成功高效完成；
3、解决开发实施过程中遇到的各种技术问题；
4、修订数据中心建设规划及相关制度、流程等；
5、负责管理及监督现场人力外包，包括制定工作计划、跟踪进度、确保交付物质量。
","任职要求：
1、计算机相关专业，全日制本科及以上学历；
2、数据中心开发所需技术能力，具有Oracle数据库和大数据开发经验；精通SQL，有SQL调优经验；具有数据中心建设相关技能（ETL、任务调度等）和数据建模能力（ODS、DW和DM层数据模型）；
3、项目团队管理技能，包括需求分析、项目进度、项目成本和项目质量管控；
4、良好的客户洞察能力、沟通协调能力和领导力，能够根据客户需求提出行之有效的系统方案建议；
5、良好的学习能力和创新能力；良好的团队合作精神及出色的沟通能力，责任心强。""

"
291,数据分析工程师,大数据测试工程师- HF,10-15k,合肥-高新区,3-5年-本科-自动化测试-功能测试,3-5年-本科-自动化测试-功能测试,深演智能,互联网-D轮-100-499人,合肥-高新区,互联网-D轮-100-499人,"职责描述：
工作职责：
1、深度参与打造深演商业智能决策平台相关的产品线，负责业务线、项目的测试设计及实施；
2、根据产品需求及设计文档，独立完成测试用例的设计与执行；
3、根据测试结果，在各阶段输出适合的测试报告；
4、准确、详实描述BUG，帮助定位BUG产生原因，并主动推进；
5、主动评估客户使用产品的活跃情况、成熟度、满意度，并根据评估结果建议产品改进措施；
6、参与自动化测试、接口测试、功能测试，并持续改进。
","任职要求：
1、学历背景：
- 全日制本科及以上学历，计算机、软件工程相关专业优先；

2、经验背景：
- 3年以上数据测试相关经验；
- 有CDP、MA产品测试经验或大数据行业背景的优先；

3、专业能力：
- 精通sql，熟悉mysql、redis基本原理
- 熟悉Linux, shell脚本
- 掌握Java或Python语言；
- 了解软件产品技术原理，具备根据问题现象定位问题原因的能力；
- 可独立完成各类应用系统的测试工作；

4、软性能力：
- 主动性强、执行力高、抗压性强。"
292,数据分析工程师,大数据开发工程师,35-45k,北京,1-3年-本科-数据开发-Spark-Hive-数仓开发-数据架构-Flink-HBase-Shell-Hadoop,1-3年-本科-数据开发-Spark-Hive-数仓开发-数据架构-Flink-HBase-Shell-Hadoop,因诺(上海)资产管理有限公司,基金/证券/期货-50-99人,北京,基金/证券/期货-50-99人,,
293,数据分析工程师,大数据测试开发工程师(009259),20-35k,深圳-福田区,3-5年-统招本科-应用测试-自动化测试-SQL,3-5年-统招本科-应用测试-自动化测试-SQL,中信银行信用卡中心,银行-5000-10000人,深圳-福田区,银行-5000-10000人,"职责描述:
1、数据类应用系统及数据应用测试工作；
2、搭建技术测试环境，并进行测试环境维护；
3、参与测试工具开发及自动化测试解决方案，提升测试效率及质量；
4、数据测试流程/框架规划制定与落地实施；
5、完成上级交办的其他工作。
","任职要求:
1、本科及以上学历，计算机相关专业，至少3年以上开发或测试经验；
2、精通SQL或HQL，熟悉Shell/Python/Perl/JAVA至少一种编程语言；
3、熟悉大数据相关技术，如：Hadoop/Hbase/Spark/Hive/Greenplum/MySql等；
4、熟悉相关测试理论和测试方法，可独立完成技术测试、环境搭建等测试任务；
5、了解数据仓库、数据建模、数据分析相关技术；
6、拥有较强的逻辑思维能力、数据分析能力和问题解决能力，具有良好的团队协作精神和服务意识，富有进取心，勇于创新。

优先考虑：
1、具有金融、互联网行业大数据开发或测试经验优先；
2、具备自动化测试经验者优先。"
294,数据分析工程师,数据开发-订单方向（基础电商）,20-50k·16薪,上海-长宁区,1-3年-统招本科-Hive-数据仓库搭建-数据开发-数据仓库,1-3年-统招本科-Hive-数据仓库搭建-数据开发-数据仓库,上海寻梦信息技术有限公司,互联网-已上市-10000人以上,上海-长宁区,互联网-已上市-10000人以上,"岗位职责
1. 支持电商交易订单、用户等业务领域的数据体系建设。
2. 负责电商体系的对账体系建设，保障核心业务的资金安全。
3. 协同产品经理与业务开发，主导产品方案和策略迭代的效果数据回收和数据分析，不断优化业务迭代效果。
","任职要求
1. 数学、统计、计算机等相关专业，1年工作经验以上。
2. 做事仔细认真，良好的数据敏感度，能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验。
3. 熟悉数据仓库系统，有Hive、Python、机器学习算法基础者加分。
4. 有大型互联网公司分布式数据仓库和数据产品开发经验者优先。"
295,数据分析工程师,初/中级DBA数据库管理员,10-20k·13薪,北京-大兴区,1-3年-统招本科-Python-Shell-SQL-Oracle,1-3年-统招本科-Python-Shell-SQL-Oracle,杭州易景数通科技有限公司,计算机软件-战略投资-1-49人,北京-大兴区,计算机软件-战略投资-1-49人,"工作职责：
1、负责易景科技数据库产品Halo的测试、交付、实施；
2、能独立对数据库的问题进行定位和排查；
3、能独立进行SQL性能优化；
4、对业务开发人员进行数据库开发技术的培训；
5、能处理异构数据库之间（Oracle、SQL Server、Halo）之间的数据同步和转换。
","任职要求：
1、本科及以上学历，计算机相关专业；
2、1年以上PostgreSQL/Oracle DBA经验；
3、熟悉PostgreSQL/Oracle体系结构；
4、熟悉PostgreSQL/Oracle的高可用架构，有一定的数据库实施规划和设计能力；
5、熟悉Shell或Python或Go语言；
6、有金融行业数据库工作经验优先；
7、责任心强，善于学习，具备良好的团队合作精神和承受压力的能力，能接受出差；
8、工作地在北京亦庄；"
296,数据分析工程师,大数据开发工程师（ETL）,10-15k·13薪,深圳-南山区,3-5年-统招本科-数据开发-Hive-数据建模-Spark-FineBI-HDFS,3-5年-统招本科-数据开发-Hive-数据建模-Spark-FineBI-HDFS,深圳九章数据科技有限公司,计算机软件-B轮-50-99人,深圳-南山区,计算机软件-B轮-50-99人,"岗位职责：
1、负责数据平台的ETL设计开发、工作流调度设计、存储过程开发、自定义函数开发；
2、负责各业务系统数据源业务调研、数据调研、准确性完整性验证；
3、负责项目中与第三方系统基于数据库的数据对接、数据预处理、数据清洗、数据处理、数据导入、数据校验相关开发工作；
4、负责数据平台日常管理、跑批、维护、监控、处理临时数据需求；
5、负责指标和标签的数据探查和开发。

","任职要求：
1、3年以上ETL开发经验，熟悉数据仓库模型设计方法论，并有实际模型设计及ETL开发经验；
2、掌握大型数据库开发技术，如Oracle、Teradata、DB2、Mysql、hql等，掌握至少其中一种，灵活运用SQL实现海量数据ETL加工处理，熟悉Doris，ClickHouse，Elasticsearch；
3、有分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态Hdfs、Hive（HQL)、Hbase、Spark 等生态相关技术；
4、熟悉Linux系统及常规shell处理命令；
5、掌握一门或多门编程语言优先，如 Python、Perl、Java 等；
6、有Dataphin平台的开发经验；
7、良好的语言沟通与表达能力和自我驱动动力，有团队精神和使命感;
8、有帆软BI报表开发经验优先。"
297,数据分析工程师,数据管理工程师,12-20k,青岛-莱西,1-3年-本科-数据管理-数据分析-数据处理-数据采集,1-3年-本科-数据管理-数据分析-数据处理-数据采集,北京汽车制造厂,整车制造-2000-5000人,青岛-莱西,整车制造-2000-5000人,"职责描述：
1.EBOM管理
1.1 负责EBOM的编制、管理及发布；
1.2 负责根据设计变更单更新EBOM；
1.3 负责EBOM与下游采购成本BOM、PBOM、MBOM、SBOM的对接。
2.数据管理
2.1负责EBOM与设计数据的一致性审查，根据项目计划跟进数据发布状态；
2.2负责根据设计变更单确认更新电子样车；
3.资源文件管理
3.1负责PLM系统中项目产品工程配置搭建及更新维护；
3.2负责整车资源代码编制、管理及发布。
","任职要求：
1、汽车及机械相关专业。
2、2年以上自主或合资主机厂传动EBOM开发相关工作经验。
"
298,数据分析工程师,系统开发岗（i17 数据开发 ）,15-25k·15薪,上海-虹口区,3-5年-统招本科-数据开发-数据建模-数据架构-SQL-MySQL,3-5年-统招本科-数据开发-数据建模-数据架构-SQL-MySQL,民生保险,保险-2000-5000人,上海-虹口区,保险-2000-5000人,"1. 负责参与搭建数仓平台，完成数据模型开发等工作
2. 参与数据平台架构设计，完成相关开发任务详细设计，代码优化
3. 参与相关数据提取，数据清洗，业务统计报表等需求的开发
4. 负责维护和搭建数据平台相关组件工具，出现问题能快速排查定位问题，及时解决
","任职要求：
1. 计算机相关专业，3年以上大数据开发实践经验，了解数仓分层架构，熟悉数据仓库设计模型。
2. 精通Java或其他至少一种开发语言，熟悉Shell编程。
3. 掌握数据库方面开发技能，精通MySql等至少一种主流关系型数据库，熟练进行SQL编程。
4. 熟练掌握Hadoop/Spark/Yarn/Hive/Hbase/Kafka/Flink/Doris/ElasticSearch/等大数据组件处理技术。
5. 熟悉掌握任务调度体系、离线跑批、准实时集群等框架技术。
6. 熟悉大数据集群各组件参数调优，有参与搭建和优化过大型集群经验者优先。
7. 有保险相关经验优先
8. 具有良好的团队合作精神和沟通能力。"
299,数据分析工程师,数据测试工程师,9-13k,武汉-江夏区,3-5年-大专-SQL,3-5年-大专-SQL,捷科智诚,计算机软件-2000-5000人,武汉-江夏区,计算机软件-2000-5000人,"职责描述：
1、专科以上学历，有银行测试经验。
2、熟悉数据库，熟悉SQL,有数据测试经验优先。
3、沟通表达较好，有良好的工作态度及工作能力。



",任职要求：
300,数据分析工程师,数据开发中级工程师,8-15k·13薪,广州-天河区,3-5年-本科-数据开发-数仓开发-数据分析-SQL-MySQL-PostgreSQL,3-5年-本科-数据开发-数仓开发-数据分析-SQL-MySQL-PostgreSQL,广东天安信信息技术有限公司,网络/信息安全-50-99人,广州-天河区,网络/信息安全-50-99人,"
1. 负责第三方数据产品的对接，包括部署、管理、应用等
2. 负责数据应用产品研发，包括ETL开发、数据湖/数据仓库开发、数据加工、数据分析等
3. 负责数据关键技术研究
4. 负责数据应用产品的交付

","任职要求：
1. 学历要求：本科及以上学历，计算机、数学、统计学等专业优先
2. 2年以上数据开发、设计或管理、数仓运维管理等相关工作经验
3. 行业知识：了解大数据基本概念、行业发展、熟悉大数据技术生态，如ETL/Hadoop/Hive/Spark/Flink等；有政务数据、政法/公安系统数据或项目经验的优先
4. OLTP数据库：精通SQL，熟悉SQL性能优化，能进行数据库设计；熟悉主流数据库，例如MySQL、PostgreSQL等；有国产化数据库（例如人大金仓、达梦等）使用经验的优先；
5. OLAP数据库：熟悉ClickHouse，或类似的OLAP数据库软件
6. 开发语言：至少熟练使用Java/Go/Python其中一种进行开发，有良好的编码习惯，遵循一定的编码规范；有数据开发经验者优先；
7. 出色的数据分析能力；
8. 能力：较强的业务理解能力，能基于复杂的业务场景和需求，建设合理的数仓模型，并持续优化；擅于沟通和表达
"
301,数据分析工程师,地理信息数据工程师,5-10k,青岛,3-5年-统招本科-IT/信息化领域-SQL Server-消息队列-Oracle-MySQL,3-5年-统招本科-IT/信息化领域-SQL Server-消息队列-Oracle-MySQL,青岛衡元德房地产评估有限公司,融资未公开-1-49人,青岛,融资未公开-1-49人,,
302,数据分析工程师,数据中心开发岗,15-30k·24薪,深圳,经验不限-学历不限-数据库开发-Oracle,经验不限-学历不限-数据库开发-Oracle,某基金/证券/期货公司,基金/证券/期货-融资未公开-100-499人,深圳,基金/证券/期货-融资未公开-100-499人,"""职责描述：
1、负责推动数据中心建设规划的实施；负责相关部门数据需求收集；
2、负责数据中心开发项目管理，包括需求管理、项目策划、过程实施、结果验收、版本发布等全过程项目管理，控制项目成本与风险，评审项目各阶段交付物，确保项目成功高效完成；
3、解决开发实施过程中遇到的各种技术问题；
4、修订数据中心建设规划及相关制度、流程等；
5、负责管理及监督现场人力外包，包括制定工作计划、跟踪进度、确保交付物质量。
","任职要求：
1、计算机相关专业，全日制本科及以上学历；
2、数据中心开发所需技术能力，具有Oracle数据库和大数据开发经验；精通SQL，有SQL调优经验；具有数据中心建设相关技能（ETL、任务调度等）和数据建模能力（ODS、DW和DM层数据模型）；
3、项目团队管理技能，包括需求分析、项目进度、项目成本和项目质量管控；
4、良好的客户洞察能力、沟通协调能力和领导力，能够根据客户需求提出行之有效的系统方案建议；
5、良好的学习能力和创新能力；良好的团队合作精神及出色的沟通能力，责任心强。""
"
303,数据分析工程师,数据中心工程师,6-9k,三亚-海棠区,3-5年-本科,3-5年-本科,中免集团,批发/零售-10000人以上,三亚-海棠区,批发/零售-10000人以上,"岗位职责：
1、参与完成公司数据中心建设及后期环境、网络设备及服务器设备日常维护和相关管理工作；						
2、参与完成公司骨干网络、服务器端高可用（HA）架构优化调整及部署工作；						
3、参与完成公司网络、服务器监控平台数据收集、分析、优化等工作；						
4、参与完成公司应急预案制定、执行、优化等工作；						
5、参与完成公司系统可行性分析、开发等，提高系统稳定性、扩展性、安全性；						
6、负责公司各业务系统更新调整并参与完成测试工作；						
7、协助完成公司接入层网络、程控交换机、无线网络等日常管理及优化工作；						
8、完成领导交办的其他工作；
","任职要求：
1、本科及以上学历，中共党员优先，计算机相关专业优先；
2、具有三年以上同岗位工作经验，具备大型零售行业、医疗行业、银行、运营商后台运维、系统、网络、安全体系的架构规划、设计、实施、维护等相关工作经验优先；
3、具备操作LINUX高可用平台能力及VMWARE部署及调试、故障定位、优化能力；
4、具备windows sever域控、DHCP、DNS运维能力和CISCO网络实施能力（含接入层 汇聚层 核心层）交换设备独立部署能力；
5、良好的沟通能力、学习能力、执行力与纪律性、问题解决能力、抗压能力。"
304,数据分析工程师,数据软件开发工程师,20-30k·15薪,上海,3-5年-本科-后端开发-C#-芯片检测设备-WPF交互界面开发-算法开发,3-5年-本科-后端开发-C#-芯片检测设备-WPF交互界面开发-算法开发,某上海电子/半导体/集成电路公司,电子/半导体/集成电路-A轮-1-49人,上海,电子/半导体/集成电路-A轮-1-49人,"岗位职责;
1. 负责半导体量检测数据处理算法开发 。
2. 负责晶圆测试数据可视化算法开发，包括统计数据可视化和Wafer Map可视化 。
3. 负责半导体量检测设备数据库开发与管理 。
4. 参与多样化的数据I/O和可视化用户界面开发工作 。
5. 负责所开发软件技术文档的编写与维护。
 6. 参与完成其他半导体设备软件开发工作。
","任职要求： 
1. 全日制本科以上学历，理工类专业毕业，硕士以上学历优先； 
2. 熟练掌握Python语言及其他数据处理和可视化工具； 
3. 熟练掌握至少一种数据库技术，有MongoDB数据库开发经验者优先； 
4. 掌握C#并有WPF交互界面开发经验者优先； 
5. 具有丰富的机器学习算法经验 ；
6. 从事过半导体设备相关的软件开发工作； 
7. 具备英语读写能力，可读写(中英文)软件技术文档者为佳；
 8. 专业基础扎实，工作效率高，编程风格规范，学习能力强。"
305,数据分析工程师,数据中心负责人-C0849Z,35-60k·14薪,佛山-顺德区,5-10年-统招本科-文字表达良好-掌握office办公软件-日常沟通顺畅,5-10年-统招本科-文字表达良好-掌握office办公软件-日常沟通顺畅,美的集团企业数字平台,家具/家居-10000人以上,佛山-顺德区,家具/家居-10000人以上,"岗位职责：
岗位职责：
1. 负责全球IDC、骨干网、园区网的规划、选型、设计、实施、管理， 满足集团业务发展需求
2. 负责新数据中心建设，包括项目的开工，过程实施，竣工调试，验证等管理工作，把控项目风险，及时协调解决实施难点
3. 负责现有数据中心运营体系建设，包括制度规范，安全生产，人员管理，服务标准，质量指标，改进等体系
4. 负责IDC、骨干网、网络安全等网络架构演进设计，落地，引领业务需求
5. 负责网络体系维护与管理，保障全球网络安全、稳定、高效提供服务
6. 负责新型数据中心和网络前瞻性技术研究，引入
","任职资格：
任职要求
1. 本科及以上，计算机相关专业
2. 5年以上大型数据中心建设或运营管理经验，运营商/互联网背景为佳
3. 对数据中心体系建设有深入理解，包含不限于施工工艺，验收标准，项目管理，风险管理，运营管理
4. 熟悉安防监控，门禁系统，综合布线，楼宇消防，强弱电，冷机，柴发，UPS等相关产品
5. 熟悉大规模IDC及骨干网络架构，全球主流运营商网络架构，光通信、网络安全等；
6. 具备很强的网络架构设计能力，具有大容量、高性能、高可用、分布式架构设计经验
7. 具有良好组织协调能力，擅长沟通，有较强责任心"
306,数据分析工程师,大数据开发工程师,20-30k·14薪,武汉-江岸区,5-10年-统招本科-数据开发-数据分析-Scala-Shell-Java-Python-HDP,5-10年-统招本科-数据开发-数据分析-Scala-Shell-Java-Python-HDP,某知名货运/物流/仓储公司,货运/物流/仓储-融资未公开-100-499人,武汉-江岸区,货运/物流/仓储-融资未公开-100-499人,"1. 在现有HDP平台基础上进行全局性和前瞻性的流批一体架构设计和实现，推动数据采集、数据计算、数据仓库、数据模型、数据治理及相关标准规范的建设和实现；
2. 带领大数据技术团队提供并实现大数据算法平台上各项数据接入、数据挖掘分析及数据可视化的架构设计，并支持解决方案实施；
3、负责数据分析平台规划，推动数据分析、数据挖掘、数据可视化在大数据应用项目中的落地；
4、负责大数据平台的持续创新和优化，研究跟进大数据领域新技术。

","岗位要求：
1.本科及以上学历，5年以上大数据开发经验，2年以上项目管理经验；
2.熟练使用Linux/Unix等操作系统，具备编写shell的能力，有数仓建设经验和ETL数据开发和调优经验；
3.熟练使用Kafka、Spark、Flink、HDFS、Druid、Kylin、Ambari等大数据常见处理技术；
4.能分适合场景去使用Clickhouse、ElasticSearch、Doris、Hbase、MongoDB、PostgreSQL等数据库技术；
5.熟练使用至少两门编程语言，包括但不限于Python、Java、Scala等；
6. 具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题；
7.拥有算法或AI相关经验优先；拥有Lambda、Kappa架构相关经验优先。

学历985/211 双一流"
307,数据分析工程师,数据中心工程师,薪资面议,上海-浦东新区,经验不限-本科-数据工程师-基础设施,经验不限-本科-数据工程师-基础设施,上海迪士尼乐园,其他行业-10000人以上,上海-浦东新区,其他行业-10000人以上,,
308,数据分析工程师,数据中心开发岗,40-60k·24薪,深圳-福田区,5-10年-本科-数据建模-数据开发-SQL-Oracle,5-10年-本科-数据建模-数据开发-SQL-Oracle,某深圳基金/证券/期货公司,基金/证券/期货-融资未公开-100-499人,深圳-福田区,基金/证券/期货-融资未公开-100-499人,"职责描述：
1、负责推动数据中心建设规划的实施；负责相关部门数据需求收集；
2、负责数据中心开发项目管理，包括需求管理、项目策划、过程实施、结果验收、版本发布等全过程项目管理，控制项目成本与风险，评审项目各阶段交付物，确保项目成功高效完成；
3、解决开发实施过程中遇到的各种技术问题；
4、修订数据中心建设规划及相关制度、流程等；
5、负责管理及监督现场人力外包，包括制定工作计划、跟踪进度、确保交付物质量。
","任职要求：
1、计算机相关专业，全日制本科及以上学历；
2、数据中心开发所需技术能力，具有Oracle数据库和大数据开发经验；精通SQL，有SQL调优经验；具有数据中心建设相关技能（ETL、任务调度等）和数据建模能力（ODS、DW和DM层数据模型）；
3、项目团队管理技能，包括需求分析、项目进度、项目成本和项目质量管控；
4、良好的客户洞察能力、沟通协调能力和领导力，能够根据客户需求提出行之有效的系统方案建议；
5、良好的学习能力和创新能力；良好的团队合作精神及出色的沟通能力，责任心强。"
309,数据分析工程师,数据中心运维工程师,12-17k,贵阳-花溪区,5-10年-本科-机房运维-IT运维-交换机,5-10年-本科-机房运维-IT运维-交换机,中融信通,互联网-50-99人,贵阳-花溪区,互联网-50-99人,"承担数据中心IT运维工作，工作内容主要包括：
1.协助全球行管建设数据中心监控运营中心，协助完成全球数据中心业务数字化、可视化。
2.负责数据中心DCO业务KPI监控，权限和资源池管理，并作为Call center提供响应支持服务。
3.负责与各区域、各站点人员沟通，组织相应会议，将行管规则落地。
4.硬件设备安装、知识文档创建、解决方案编写等。            
","岗位要求：
1、学历要求：计算机、网络等相关专业，全日制本科以上学历
2、具备数据中心运维工作经验，熟悉机房运维管理或建设的基本流程、特点及相关知识，如机房布局、末端供配电、设备上下架、综合布线等。（至少熟悉一项）
3、了解基本玩过架构，具备交换机接入和调试能力，熟悉服务器硬件基础知识，能在操作指导下安装部署服务器，熟悉Linux基本操作。
4、使用过数据中心网管可视化平台和工具、有工具开发经验优先。"
310,数据分析工程师,02616K-大数据开发工程师,10-20k,深圳,1-3年-统招本科,1-3年-统招本科,中国平安人寿保险股份有限公司,保险-10000人以上,深圳,保险-10000人以上,"工作职责：
1、	负责公司保险投资端数据仓库以及数据治理相关建设
2、	对数据有较高敏感性，熟悉投资数据特点，完成从业务模型到数据模型的设计及开发工作
3、	与业务部门密切合作，组织和建设针对细分投资方向的解决方案
","任职资格：
1、	本科及以上学历、计算机、数学、金融等相关专业，3年以上大型数据仓库建设经验；
2、	具有数据仓库建模设计能力，有资本市场、非标产品相关系统经历 
3、	在某保险投资子领域有过较深入的经验积累，比如绩效、风控、组合、大类资产配置等
4、	熟悉掌握Oralce/Mysql/ Hadoop HIVE/Spark等技能
5、	具有良好的沟通和团队协作能力，对业务有较好的理解能力和敏锐度、有实际业务落地的经验，注重理论与实际相结合
6、	主动性和责任心强，有良好的抗压能力，有强烈的学习技术研究能力和良好的团队精神"
